,Item,Amount,Average Prices
0,25kg Mama Gold Rice,21000 - 23000,22000.0
1,10kg Mama Gold Rice,8500 - 10000,9250.0
2,Mama’s Pride 25kg Rice,10000 - 15500,12750.0
3,Mama’s Pride 50kg Rice,45000 - 50500,47750.0
4,Caprice 25kg Rice,35000 - 40000,37500.0
5,Caprice 50kg Rice,50000 - 60000,55000.0
6,50kg  Royal Stallion Rice,50000 - 60000,55000.0
7,25kg  Royal Stallion Rice,20000 - 30000,25000.0
8,10kg  Royal Stallion Rice,9000 - 12000,10500.0
9,50kg Mama Africa Rice,60000 - 70000,65000.0
10,25kg Mama Africa Rice,25000 - 30000,27500.0
11,5kg Ofada rice,3000 - 5000,4000.0
12,Oloyin (25kg),15000 - 19000,17000.0
13,50kg Olotun,29000 - 36000,32500.0
14,Olotun (25kg),14000 - 17500,15750.0
15,Butter Beans (50kg),32000 - 37000,34500.0
16,Butter Beans (25kg),19500,19500.0
17,White Beans (50kg),31000 - 34500,32750.0
18,White Beans (25kg),16000,16000.0
19,Brown Beans (50kg),30000 - 37000,33500.0
20,Brown Beans (25kg),16000,16000.0
21,Regular Yam (Large),500 - 800,650.0
22,Abuja Yam (Large),3700 - 3900,3800.0
23,Abuja Yam (Medium),3500 - 3650,3575.0
24,30 litres of local Vegetable Oil,25200 - 48000,36600.0
25,5 litres of Kings Vegetable Oil,10000 - 15000,12500.0
26,5 litres of Wesson Vegetable Oil,15000 - 2000,8500.0
27,3.8 litres of Mamador Vegetable Oil,6000 - 10000,8000.0
28,3 litres of Power Vegetable Oil,6000 - 15000,10500.0
29,5 litres Gallon of Palm Oil,4300 - 10800,7550.0
30,20 litres of local Vegetable Oil,16800 - 32000,24400.0
31,20 litres of Palm Oil,18400 - 34600,26500.0
32,30 litres Gallon of Palm Oil,27600 - 51900,39750.0
33,A paint bucket of Garri,1000- 1800,1400.0
34,80kg Ijebu Garri,15000 - 20000,17500.0
35,50kg White Garri,8000 - 15000,11500.0
36,50kg Yellow Garri,8000 - 10500,9250.0
37,Poundo Yam,10500 - 20245,15372.5
38,Yam Flour (Elubo),28000 - 35000,31500.0
39,Plantain Flour,13999 - 20500,17249.5
40,Wheat Flour,11500 - 13500,12500.0
41,Flour,11500 - 13500,12500.0
42,Cassava Flour,15000 - 35000,25000.0
43,Indomie Onion (70g x 40ps),5500 - 10000,7750.0
44,Superpack (120g x 40ps),6500 - 16500,11500.0
45,Hungry Man (200g x 24ps),3200 - 7705,5452.5
46,Indomie Belleful (305g x 16ps),3250 - 7000,5125.0
47,Chiki Noodles (100g x 40),8000 - 8500,8250.0
48,Golden Penny Noodles (70g x 40ps),3900 - 4100,4000.0
49,Dangote per carton of 20 packs,4500 - 18500,11500.0
50,Power per carton of 20 packs,4300 - 8600,6450.0
51,Bonita per carton of 20 packs,5000 - 1700,3350.0
52,Honeywell per carton of 20 packs,4300 - 18500,11400.0
53,A bag of Scotch Bonnet Pepper (Rodo),8000 - 10000,9000.0
54,Basket of Red ball pepper (Tatase),9000 - 15000,12000.0
55,A bag Onion (white),20000 - 29000,24500.0
56,A bag of Onion (Red),18000 - 28000,23000.0
57,Melon Seed (Egusi),500- 650,575.0
58,Irvingia (Ogbono Seed),800- 1000,900.0
59,Okro,100 ,100.0
60,Onion (1kg),450-600,525.0
