,full_lists,titles,quantities,prices
0,"Rice (50kg bag) – N14,500 – N17,500",Rice,50kg bag,"N14,500  -  N17,500"
1,"Rice (25kg bag) – N7,000 – N9,000",Rice,25kg bag,"N7,000  -  N9,000"
2,"Rice (10kg bag) – N2,500 – N3,000",Rice,10kg bag,"N2,500  -  N3,000"
3,"Rice (5kg bag) – N1,200 – N1,600",Rice,5kg bag,"N1,200  -  N1,600"
4,"Oloyin Beans (50kg) – N30,000 – N39,000 (depending on location and market)",Oloyin Beans,50kg,"N30,000  -  N39,000 (depending on location and market)"
5,"Oloyin (25kg) – N15,000 – N19,000",Oloyin,25kg,"N15,000  -  N19,000"
6,"Olotun (50kg) – N29,000 – N36,000",Olotun,50kg,"N29,000  -  N36,000"
7,"Olotun (25kg) – N14,000 – N17,500",Olotun,25kg,"N14,000  -  N17,500"
8,"Butter Beans (50kg) – N33,000",Butter Beans,50kg,"N33,000"
9,"Butter Beans (25kg) – N16,500",Butter Beans,25kg,"N16,500"
10,"White Beans (50kg) – N32,000",White Beans,50kg,"N32,000"
11,"Brown Beans (50kg) – N32,000",Brown Beans,50kg,"N32,000"
12,Abuja Yam (Large) – N700 – N900,Abuja Yam,Large,N700  -  N900
13,Abuja Yam (Medium) – N500 – N650,Abuja Yam,Medium,N500  -  N650
14,Regular Yam (Large) – N500 – N800,Regular Yam,Large,N500  -  N800
15,Regular Yam (Medium) – N350 – N500,Regular Yam,Medium,N350  -  N500
16,"Indomie Chicken (70g x 40ps)- N1,900 – N2,100",Indomie Chicken,"70g x 40ps- N1,900","N2,100"
17,"Indomie Onion (70g x 40ps) – N2,100 – N2,200",Indomie Onion,70g x 40ps,"N2,100  -  N2,200"
18,"Superpack (120g x 40ps) – N3,300- N3,400",Superpack,120g x 40ps,"N3,300- N3,400"
19,"Hungry Man (200g x 24ps)- N4,300- N4,500",Hungry Man,"200g x 24ps- N4,300- N4,500",
20,"Indomie Belleful (305g x 16ps)- N4,300- N4,500",Indomie Belleful,"305g x 16ps- N4,300- N4,500",
21,"Chiki Noodles (100g x 40) – N3,000- N3,200",Chiki Noodles,100g x 40,"N3,000- N3,200"
22,"Golden Penny Noodles (70g x 40ps) – N2,200",Golden Penny Noodles,70g x 40ps,"N2,200"
23,"Bag of Garri (Ijebu    80kg) – N10,500",Bag of Garri,Ijebu    80kg,"N10,500"
24,"Bag of Garri (White 50kg) N6,500 – N7,500",Bag of Garri,"White 50kg N6,500","N7,500"
25,"Bag of Garri (Yellow 50kg) N6,500 – N7,500",Bag of Garri,"Yellow 50kg N6,500","N7,500"
26,Sweet Potato (Big Basket) – N500 – N650,Sweet Potato,Big Basket,N500  -  N650
27,Small Basket N300 – N400,Small Basket N300,,N400
28,"Irish Potato (Big Basket) – N1,900 – N2,200",Irish Potato,Big Basket,"N1,900  -  N2,200"
29,"Irish Potato (Medium Basket) – N1,100 – N1,300",Irish Potato,Medium Basket,"N1,100  -  N1,300"
30,Irish Potato (Small Basket) – N500 – N700,Irish Potato,Small Basket,N500  -  N700
31,Spaghetti (Golden Penny 500g) – N200-N250,Spaghetti,Golden Penny 500g,N200-N250
32,Spaghetti (Dangote 500g) – N200-N250,Spaghetti,Dangote 500g,N200-N250
33,Spaghetti (Power 500g) – N200-N250,Spaghetti,Power 500g,N200-N250
34,Spaghetti (Bonita 500g) – N250-N300,Spaghetti,Bonita 500g,N250-N300
35,"Gallon of Palm Oil (5 ltrs) – N2,200-N2,500",Gallon of Palm Oil,5 ltrs,"N2,200-N2,500"
36,"Gallon of Palm Oil (20 ltrs) – N8,800-N9,000",Gallon of Palm Oil,20 ltrs,"N8,800-N9,000"
37,"Gallon of Palm Oil (30 ltrs) – N12,800-N13,000",Gallon of Palm Oil,30 ltrs,"N12,800-N13,000"
38,"Gallon of Vegetable Oil Local (5 ltrs) – N2,300-N2,500",Gallon of Vegetable Oil Local,5 ltrs,"N2,300-N2,500"
39,"Gallon of Vegetable Oil (20 ltrs) – N9,000- N9,500",Gallon of Vegetable Oil,20 ltrs,"N9,000- N9,500"
40,"Gallon of Vegetable Oil (30 ltrs) – N13,500 –N14,000",Gallon of Vegetable Oil,30 ltrs,"N13,500  - N14,000"
41,"Kings Vegetable Oil (5 ltrs) – N2,900- N3,000",Kings Vegetable Oil,5 ltrs,"N2,900- N3,000"
